Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
3,Santos,19,12,4,3,25,12,+13,40,2.11,19,5,8,6,17,20,-3,23,1.21
4,Grêmio,19,10,4,5,26,13,+13,34,1.79,19,8,4,7,29,23,+6,28,1.47
5,Cruzeiro,19,9,7,3,26,17,+9,34,1.79,19,6,5,8,21,22,-1,23,1.21
6,Flamengo,19,10,6,3,32,13,+19,36,1.89,19,5,5,9,17,25,-8,20,1.05
7,Vasco da Gama,19,8,7,4,21,21,0,31,1.63,19,7,4,8,19,26,-7,25,1.32
8,Chapecoense,19,9,3,7,24,21,+3,30,1.58,19,6,6,7,23,28,-5,24,1.26
9,Atlético Mineiro,19,7,4,8,27,27,0,25,1.32,19,7,8,4,25,22,+3,29,1.53
10,Botafogo (RJ),19,9,3,7,30,25,+5,30,1.58,19,5,8,6,15,17,-2,23,1.21
11,Atl Paranaense,19,8,5,6,29,20,+9,29,1.53,19,6,4,9,16,23,-7,22,1.16
12,Bahia,19,10,4,5,34,21,+13,34,1.79,19,3,7,9,16,27,-11,16,0.84
13,São Paulo,19,9,8,2,29,18,+11,35,1.84,19,4,3,12,19,31,-12,15,0.79
14,Fluminense,19,7,6,6,27,24,+3,27,1.42,19,4,8,7,23,29,-6,20,1.05
15,Sport Recife,19,7,7,5,27,21,+6,28,1.47,19,5,2,12,19,37,-18,17,0.89
16,Vitória,19,3,5,11,22,31,-9,14,0.74,19,8,5,6,28,27,+1,29,1.53
17,Coritiba,19,7,5,7,21,18,+3,26,1.37,19,4,5,10,21,33,-12,17,0.89
18,Avaí,19,5,9,5,15,20,-5,24,1.26,19,5,4,10,14,28,-14,19,1.00
19,Ponte Preta,19,9,3,7,26,21,+5,30,1.58,19,1,6,12,11,31,-20,9,0.47
20,Atl Goianiense,19,4,5,10,18,23,-5,17,0.89,19,5,4,10,20,33,-13,19,1.00
1,Palmeiras,19,16,2,1,42,13,+29,50,2.63,19,7,9,3,22,13,+9,30,1.58
2,Flamengo,19,14,2,3,30,8,+22,44,2.32,19,7,7,5,29,21,+8,28,1.47
3,Internacional,19,14,4,1,32,10,+22,46,2.42,19,5,8,6,19,19,0,23,1.21
4,Grêmio,19,12,5,2,36,14,+22,41,2.16,19,6,7,6,12,13,-1,25,1.32
5,São Paulo,19,10,8,1,25,13,+12,38,2.00,19,6,7,6,21,21,0,25,1.32
6,Atlético Mineiro,19,12,4,3,31,15,+16,40,2.11,19,5,4,10,25,28,-3,19,1.00
7,Atl Paranaense,19,14,2,3,44,14,+30,44,2.32,19,2,7,10,10,23,-13,13,0.68
8,Cruzeiro,19,11,4,4,25,14,+11,37,1.95,19,3,7,9,9,20,-11,16,0.84
9,Botafogo (RJ),19,10,7,2,22,14,+8,37,1.95,19,3,5,11,16,32,-16,14,0.74
10,Santos,19,9,6,4,28,14,+14,33,1.74,19,4,5,10,18,26,-8,17,0.89
11,Bahia,19,10,7,2,27,13,+14,37,1.95,19,2,5,12,12,28,-16,11,0.58
12,Fluminense,19,9,5,5,17,11,+6,32,1.68,19,3,4,12,15,35,-20,13,0.68
13,Corinthians,19,9,8,2,19,12,+7,35,1.84,19,2,3,14,15,23,-8,9,0.47
14,Chapecoense,19,10,5,4,24,16,+8,35,1.84,19,1,6,12,10,34,-24,9,0.47
15,Ceará,19,7,8,4,18,16,+2,29,1.53,19,3,6,10,14,22,-8,15,0.79
16,Vasco da Gama,19,9,5,5,29,24,+5,32,1.68,19,1,8,10,12,24,-12,11,0.58
17,Sport Recife,19,8,6,5,19,17,+2,30,1.58,19,3,3,13,16,40,-24,12,0.63
18,América (MG),19,8,7,4,22,17,+5,31,1.63,19,2,3,14,8,30,-22,9,0.47
19,Vitória,19,7,5,7,22,24,-2,26,1.37,19,2,5,12,14,39,-25,11,0.58
20,Paraná,19,3,10,6,13,23,-10,19,1.00,19,1,1,17,5,34,-29,4,0.21
