Ano,Pos,Clube,Jf,Vf,Ef,Df,GPf,GCf,SDf,Ptsf,Ptsf/Jf
2018,17,Sport Recife,19,3,3,13,16,40,-24,12,0.63
2018,18,América (MG),19,2,3,14,8,30,-22,9,0.47
2018,19,Vitória,19,2,5,12,14,39,-25,11,0.58
2018,20,Paraná,19,1,1,17,5,34,-29,4,0.21
2019,1,Flamengo,19,11,4,4,30,19,11,37,1.95
2019,2,Santos,19,8,4,7,16,18,-2,28,1.47
2019,3,Palmeiras,19,8,7,4,21,19,2,31,1.63
2019,4,Grêmio,19,7,5,7,26,21,5,26,1.37
2019,5,Atl Paranaense,19,6,7,6,25,21,4,25,1.32
2019,6,São Paulo,19,7,6,6,16,18,-2,27,1.42
2019,7,Internacional,19,5,3,11,16,24,-8,18,0.95
2019,8,Corinthians,19,4,7,8,17,21,-4,19,1.0
2019,9,Fortaleza,19,4,6,9,24,32,-8,18,0.95
2019,10,Goiás,19,4,4,11,15,41,-26,16,0.84
2019,11,Bahia,19,5,5,9,20,25,-5,20,1.05
2019,12,Vasco da Gama,19,5,7,7,19,23,-4,22,1.16
2019,13,Atlético Mineiro,19,3,7,9,17,26,-9,16,0.84
2019,14,Fluminense,19,6,3,10,20,31,-11,21,1.11
2019,15,Botafogo (RJ),19,4,2,13,12,28,-16,14,0.74
2019,16,Ceará,19,2,3,14,13,27,-14,9,0.47
2019,17,Cruzeiro,19,2,7,10,14,29,-15,13,0.68
2019,18,CSA,19,2,3,14,7,34,-27,9,0.47
2019,19,Chapecoense,19,3,6,10,15,30,-15,15,0.79
2019,20,Avaí,19,2,2,15,8,38,-30,8,0.42
2020,1,Flamengo,19,10,4,5,33,25,8,34,1.79
2020,2,Internacional,19,8,5,6,27,18,9,29,1.53
2020,3,Atlético Mineiro,19,6,4,9,23,32,-9,22,1.16
2020,4,São Paulo,19,8,5,6,30,25,5,29,1.53
2020,5,Fluminense,19,7,5,7,24,28,-4,26,1.37
2020,6,Grêmio,19,4,11,4,19,17,2,23,1.21
2020,7,Palmeiras,19,6,5,8,18,21,-3,23,1.21
2020,8,Santos,19,5,5,9,17,28,-11,20,1.05
2020,9,Atl Paranaense,19,6,3,10,18,23,-5,21,1.11
2020,10,Bragantino,19,3,9,7,16,21,-5,18,0.95
2020,11,Ceará,19,7,5,7,32,26,6,26,1.37
2020,12,Corinthians,19,5,5,9,16,22,-6,20,1.05
2020,13,Atl Goianiense,19,6,5,8,16,24,-8,23,1.21
2020,14,Bahia,19,3,6,10,21,33,-12,15,0.79
2020,15,Sport Recife,19,4,4,11,12,27,-15,16,0.84
2020,16,Fortaleza,19,2,5,12,14,29,-15,11,0.58
2020,17,Vasco da Gama,19,3,6,10,16,35,-19,15,0.79
2020,18,Goiás,19,3,5,11,22,35,-13,14,0.74
2020,19,Coritiba,19,3,4,12,18,35,-17,13,0.68
2020,20,Botafogo (RJ),19,2,7,10,16,32,-16,13,0.68
2021,1,Atlético Mineiro,19,9,5,5,25,21,4,32,1.68
2021,2,Flamengo,19,8,7,4,38,21,17,31,1.63
2021,3,Palmeiras,19,9,3,7,25,17,8,30,1.58
2021,4,Fortaleza,19,6,3,10,18,26,-8,21,1.11
2021,5,Corinthians,19,5,7,7,14,18,-4,22,1.16
2021,6,Bragantino,19,7,5,7,27,26,1,26,1.37
2021,7,Fluminense,19,4,4,11,14,24,-10,16,0.84
2021,8,América (MG),19,4,8,7,19,26,-7,20,1.05
2021,9,Atl Goianiense,19,7,4,8,16,22,-6,25,1.32
2021,10,Santos,19,3,8,8,14,26,-12,17,0.89
2021,11,Ceará,19,1,10,8,15,24,-9,13,0.68
2021,12,Internacional,19,4,6,9,15,20,-5,18,0.95
2021,13,São Paulo,19,4,6,9,13,24,-11,18,0.95
2021,14,Atl Paranaense,19,5,3,11,18,24,-6,18,0.95
2021,15,Cuiabá,19,3,11,5,16,17,-1,20,1.05
2021,16,Juventude,19,2,7,10,17,29,-12,13,0.68
2021,17,Grêmio,19,4,1,14,15,30,-15,13,0.68
2021,18,Bahia,19,3,5,11,15,29,-14,14,0.74
2021,19,Sport Recife,19,4,4,11,11,24,-13,16,0.84
2021,20,Chapecoense,19,1,6,12,14,35,-21,9,0.47
2022,1,Palmeiras,19,10,8,1,27,15,12,38,2.0
