Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
16,Fortaleza,19,8,6,5,20,15,+5,30,1.58,23.8,21.0,+2.8,+0.15,19,2,5,12,14,29,-15,11,0.58,19.4,26.8,-7.4,-0.39
17,Vasco da Gama,19,7,5,7,21,21,0,26,1.37,25.7,24.9,+0.9,+0.04,19,3,6,10,16,35,-19,15,0.79,15.4,31.6,-16.3,-0.86
18,Goiás,19,6,5,8,19,28,-9,23,1.21,17.9,26.3,-8.4,-0.44,19,3,5,11,22,35,-13,14,0.74,21.6,34.8,-13.2,-0.70
19,Coritiba,19,4,6,9,13,19,-6,18,0.95,18.4,25.2,-6.8,-0.36,19,3,4,12,18,35,-17,13,0.68,19.5,36.3,-16.7,-0.88
20,Botafogo (RJ),19,3,5,11,16,30,-14,14,0.74,30.0,29.2,+0.8,+0.04,19,2,7,10,16,32,-16,13,0.68,21.3,35.6,-14.3,-0.75
1,Atlético Mineiro,19,17,1,1,42,13,+29,52,2.74,35.7,15.3,+20.4,+1.07,19,9,5,5,25,21,+4,32,1.68,22.1,18.7,+3.4,+0.18
2,Flamengo,19,13,1,5,31,15,+16,40,2.11,33.6,17.8,+15.8,+0.83,19,8,7,4,38,21,+17,31,1.63,32.9,22.5,+10.4,+0.55
3,Palmeiras,19,11,3,5,33,26,+7,36,1.89,34.1,22.5,+11.6,+0.61,19,9,3,7,25,17,+8,30,1.58,22.2,25.9,-3.7,-0.20
4,Fortaleza,19,11,4,4,26,19,+7,37,1.95,27.5,18.6,+8.9,+0.47,19,6,3,10,18,26,-8,21,1.11,23.0,29.6,-6.5,-0.34
5,Corinthians,19,10,5,4,26,18,+8,35,1.84,24.5,16.7,+7.9,+0.41,19,5,7,7,14,18,-4,22,1.16,15.7,20.3,-4.6,-0.24
6,Bragantino,19,7,9,3,28,20,+8,30,1.58,23.8,22.1,+1.8,+0.09,19,7,5,7,27,26,+1,26,1.37,23.4,26.5,-3.1,-0.16
7,Fluminense,19,11,5,3,24,14,+10,38,2.00,24.8,16.6,+8.2,+0.43,19,4,4,11,14,24,-10,16,0.84,19.5,29.8,-10.4,-0.55
8,América (MG),19,9,6,4,22,11,+11,33,1.74,32.1,19.7,+12.4,+0.65,19,4,8,7,19,26,-7,20,1.05,24.0,27.2,-3.1,-0.17
9,Atl Goianiense,19,6,10,3,17,14,+3,28,1.47,21.5,17.8,+3.7,+0.19,19,7,4,8,16,22,-6,25,1.32,15.5,32.8,-17.2,-0.91
10,Santos,19,9,6,4,21,14,+7,33,1.74,25.9,23.3,+2.6,+0.14,19,3,8,8,14,26,-12,17,0.89,18.8,27.8,-9.0,-0.47
11,Ceará,19,10,7,2,24,14,+10,37,1.95,26.5,21.5,+4.9,+0.26,19,1,10,8,15,24,-9,13,0.68,21.5,28.4,-6.9,-0.36
